id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1276230870223945728,1276151442466799626,1593112125000,2020-06-25,16:08:45,Hora Padrão de Buenos Aires,375175921,reginaapb38,Regina Robô,,"Pois é... E dizem que era ditadura... Vivi nesta época e não vi nada de ditadura, mas hoje estamos vendo o que é.
O que poderíamos esperar de uma emissora que foi comprada pela #ChinaVirus??? @BandJornalismo 
Era o único programa que conseguia assistir nesta emissora, agora FORA.","['barth_lisia', 'bandjornalismo']",[],[],0,0,1,['#chinavirus'],[],https://twitter.com/ReginaAPB38/status/1276230870223945728,False,,0,,,,,,,"[{'user_id': '375175921', 'username': 'ReginaAPB38'}, {'user_id': '3926730203', 'username': 'barth_lisia'}, {'user_id': '31201557', 'username': 'BandJornalismo'}]",,,,
1276229699832877059,1276229699832877059,1593111846000,2020-06-25,16:04:06,Hora Padrão de Buenos Aires,2279422845,michelbsmc,MichelP,,"#BandLixo #BandLixoComunista #BandChina #bandNUNCAMAIS
Emissora comprada pela bosta da #ChinaVirus #China Perdeu minha audiência!!",[],[],[],0,0,0,"['#bandlixo', '#bandlixocomunista', '#bandchina', '#bandnuncamais', '#chinavirus', '#china']",[],https://twitter.com/MichelBSMC/status/1276229699832877059,False,,0,,,,,,,"[{'user_id': '2279422845', 'username': 'MichelBSMC'}]",,,,
1276199180478930947,1276199180478930947,1593104569000,2020-06-25,14:02:49,Hora Padrão de Buenos Aires,1170671311615664128,noticias_ze,Zê Notícias 🇧🇷,,"#EUA: Comerciantes e moradores de zona autônoma de Seattle entram na Justiça contra o município por “danos cada vez maiores” #ChinaVirus
 https://conexaopolitica.com.br/ultimas/eua-comerciantes-e-moradores-de-zona-autonoma-de-seattle-entram-na-justica-contra-o-municipio-por-danos-cada-vez-maiores/ …",[],['https://conexaopolitica.com.br/ultimas/eua-comerciantes-e-moradores-de-zona-autonoma-de-seattle-entram-na-justica-contra-o-municipio-por-danos-cada-vez-maiores/'],[],0,0,0,"['#eua', '#chinavirus']",[],https://twitter.com/noticias_ze/status/1276199180478930947,False,,0,,,,,,,"[{'user_id': '1170671311615664128', 'username': 'noticias_ze'}]",,,,
1276198485612789761,1276198485612789761,1593104404000,2020-06-25,14:00:04,Hora Padrão de Buenos Aires,1170671311615664128,noticias_ze,Zê Notícias 🇧🇷,,"#Coronavírus: Anvisa autoriza testes com Remdesivir. Veja o que se sabe #ChinaVirus
 http://noticias.r7.com/saude/coronavirus-anvisa-autoriza-testes-com-remdesivir-veja-o-que-se-sabe-25062020 … via @portalr7",['portalr7'],['http://noticias.r7.com/saude/coronavirus-anvisa-autoriza-testes-com-remdesivir-veja-o-que-se-sabe-25062020'],[],0,1,0,"['#coronavírus', '#chinavirus']",[],https://twitter.com/noticias_ze/status/1276198485612789761,False,,0,,,,,,,"[{'user_id': '1170671311615664128', 'username': 'noticias_ze'}, {'user_id': '65473559', 'username': 'portalR7'}]",,,,
1276194080595365889,1276186957182369793,1593103354000,2020-06-25,13:42:34,Hora Padrão de Buenos Aires,842787119840092163,heraldodfabbro,Heraldo A Dal Fabbro,,"Chineses e o dinheiro proveniente da escravidão Ñ são bem vindos
#ChinaVirus responsável pelas mortes de muitos irmãos ao redor do planeta. O governador @jdoriajr e o prefeito @brunocovas ambos  comunistas e contra o PR @jairbolsonaro geraram o caos em São Paulo!
#ForaComunistas","['francoal10', 'clauwild1', 'luislacombereal', 'jdoriajr', 'brunocovas', 'jairbolsonaro']",[],[],0,1,2,"['#chinavirus', '#foracomunistas']",[],https://twitter.com/heraldodfabbro/status/1276194080595365889,False,,0,,,,,,,"[{'user_id': '842787119840092163', 'username': 'heraldodfabbro'}, {'user_id': '213212264', 'username': 'francoal10'}, {'user_id': '894281995689349120', 'username': 'Clauwild1'}, {'user_id': '1184178787786936320', 'username': 'luislacombereal'}, {'user_id': '64706049', 'username': 'jdoriajr'}, {'user_id': '18048666', 'username': 'brunocovas'}, {'user_id': '128372940', 'username': 'jairbolsonaro'}]",,,,
1276186082036637702,1276124495196106758,1593101447000,2020-06-25,13:10:47,Hora Padrão de Buenos Aires,37810668,nillmaster,ELISAEL ALVES *SOMOS MILHÕES*3️⃣8️⃣ 🇧🇷🇺🇸,,#BoicoteBandLixo vendidos do PCC da #ChinaVirus,"['aquinaband', 'bandtv']",[],[],0,0,0,"['#boicotebandlixo', '#chinavirus']",[],https://twitter.com/NillMaster/status/1276186082036637702,False,,0,,,,,,,"[{'user_id': '37810668', 'username': 'NillMaster'}, {'user_id': '1094396154102628352', 'username': 'aquinaband'}, {'user_id': '246471130', 'username': 'BandTV'}]",,,,
1276185400990593025,1276169287334592513,1593101284000,2020-06-25,13:08:04,Hora Padrão de Buenos Aires,37810668,nillmaster,ELISAEL ALVES *SOMOS MILHÕES*3️⃣8️⃣ 🇧🇷🇺🇸,,#BoicoteBandLixo vendida ao PCC #ChinaVirus,"['alanlopesrio', 'marisaginez', 'bandtv']",[],[],0,0,0,"['#boicotebandlixo', '#chinavirus']",[],https://twitter.com/NillMaster/status/1276185400990593025,False,,0,,,,,,,"[{'user_id': '37810668', 'username': 'NillMaster'}, {'user_id': '1157984524116156416', 'username': 'AlanLopesRio'}, {'user_id': '1857444374', 'username': 'MarisaGinez'}, {'user_id': '246471130', 'username': 'BandTV'}]",,,,
1276181122074935296,1276167732669689856,1593100264000,2020-06-25,12:51:04,Hora Padrão de Buenos Aires,1268271085038055427,charlesfaria18,Charles Faria,,A #bandlixo é dos #chinavirus tem que boicotar! Única atração decente era #aquinaband 👎👎👺👺🤛🤛🇧🇷🇧🇷💪💪#obrigadolacombe #LacombeNoSBT,"['biakicis', 'luislacombereal', 'allantercalivre']",[],[],0,0,0,"['#bandlixo', '#chinavirus', '#aquinaband', '#obrigadolacombe', '#lacombenosbt']",[],https://twitter.com/CharlesFaria18/status/1276181122074935296,False,,0,,,,,,,"[{'user_id': '1268271085038055427', 'username': 'CharlesFaria18'}, {'user_id': '357030742', 'username': 'Biakicis'}, {'user_id': '1184178787786936320', 'username': 'luislacombereal'}, {'user_id': '3984632307', 'username': 'allantercalivre'}]",,,,
1276180474440925185,1276158450469396482,1593100110000,2020-06-25,12:48:30,Hora Padrão de Buenos Aires,1268271085038055427,charlesfaria18,Charles Faria,,A #bandlixo é dos #chinavirus tem que boicotar! Única atração decente era #aquinaband 👎👎👺👺🤛🤛🇧🇷🇧🇷💪💪#obrigadolacombe,"['aquinaband', 'luislacombereal', 'daltonrangel']",[],[],0,0,0,"['#bandlixo', '#chinavirus', '#aquinaband', '#obrigadolacombe']",[],https://twitter.com/CharlesFaria18/status/1276180474440925185,False,,0,,,,,,,"[{'user_id': '1268271085038055427', 'username': 'CharlesFaria18'}, {'user_id': '1094396154102628352', 'username': 'aquinaband'}, {'user_id': '1184178787786936320', 'username': 'luislacombereal'}, {'user_id': '197060278', 'username': 'daltonrangel'}]",,,,
1276180220660330496,1276161027466559492,1593100049000,2020-06-25,12:47:29,Hora Padrão de Buenos Aires,1268271085038055427,charlesfaria18,Charles Faria,,A #bandlixo é dos #chinavirus tem que boicotar! Única atração decente era #aquinaband 👎👎👺👺🤛🤛🇧🇷🇧🇷💪💪#obrigadolacombe,"['aquinaband', 'daltonrangel']",[],[],0,0,0,"['#bandlixo', '#chinavirus', '#aquinaband', '#obrigadolacombe']",[],https://twitter.com/CharlesFaria18/status/1276180220660330496,False,,0,,,,,,,"[{'user_id': '1268271085038055427', 'username': 'CharlesFaria18'}, {'user_id': '1094396154102628352', 'username': 'aquinaband'}, {'user_id': '197060278', 'username': 'daltonrangel'}]",,,,
1276179417304313857,1276165431695421442,1593099858000,2020-06-25,12:44:18,Hora Padrão de Buenos Aires,1268271085038055427,charlesfaria18,Charles Faria,,A #bandlixo é dos #chinavirus tem que boicotar! Única atração decente era #aquinaband 👎👎👺👺🤛🤛🇧🇷🇧🇷💪💪#obrigadolacombe,['nordestino38'],[],[],0,0,1,"['#bandlixo', '#chinavirus', '#aquinaband', '#obrigadolacombe']",[],https://twitter.com/CharlesFaria18/status/1276179417304313857,False,,0,,,,,,,"[{'user_id': '1268271085038055427', 'username': 'CharlesFaria18'}, {'user_id': '1115380886453858310', 'username': 'Nordestino38'}]",,,,
1276178919037730820,1276168759598874625,1593099739000,2020-06-25,12:42:19,Hora Padrão de Buenos Aires,1268271085038055427,charlesfaria18,Charles Faria,,A #bandlixo é dos #chinavirus tem que boicotar! Única atração decente era #aquinaband 👎👎👺👺🤛🤛🇧🇷🇧🇷💪💪#obrigadolacombe,['henriolliveira'],[],[],0,0,0,"['#bandlixo', '#chinavirus', '#aquinaband', '#obrigadolacombe']",[],https://twitter.com/CharlesFaria18/status/1276178919037730820,False,,0,,,,,,,"[{'user_id': '1268271085038055427', 'username': 'CharlesFaria18'}, {'user_id': '2571656740', 'username': 'henriolliveira'}]",,,,
1276178830714118150,1276166115509624833,1593099718000,2020-06-25,12:41:58,Hora Padrão de Buenos Aires,1268271085038055427,charlesfaria18,Charles Faria,,A #bandlixo é dos #chinavirus tem que boicotar! Única atração decente era #aquinaband 👎👎👺👺🤛🤛🇧🇷🇧🇷💪💪#obrigadolacombe,['eusoumbc'],[],[],0,0,0,"['#bandlixo', '#chinavirus', '#aquinaband', '#obrigadolacombe']",[],https://twitter.com/CharlesFaria18/status/1276178830714118150,False,,0,,,,,,,"[{'user_id': '1268271085038055427', 'username': 'CharlesFaria18'}, {'user_id': '852352465525776384', 'username': 'EuSouMBC'}]",,,,
